,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,Date
2229,Hunter Luepke,Dal,RB,L 16-28,0,0,0,0,1,9,0,1,12,0,1,0,0,0,3.1,0,0,Ari,Away,9/26/2023
2230,Tim Jones,Jax,WR,L 17-37,0,0,0,0,0,0,0,2,11,0,3,0,0,0,3.1,0,0,Hou,Home,9/26/2023
2231,Quentin Johnston,LAC,WR,W 28-24,4.4,0,0,0,0,0,0,2,10,0,3,0,0,0,3,0,0,Min,Away,9/26/2023
2232,Isaiah Likely,Bal,TE,L 19-22,2.9,0,0,0,0,0,0,1,20,0,2,0,0,0,3,0,0,Ind,Home,9/26/2023
2233,Demario Douglas,NE,WR,W 15-10,3.8,0,0,0,1,5,0,1,15,0,3,0,0,0,3,0,0,NYJ,Away,9/26/2023
2234,Mitchell Wilcox,Cin,TE,W 19-16,2.7,0,0,0,0,0,0,2,10,0,3,0,0,0,3,0,0,LAR,Home,9/26/2023
2235,Kylen Granson,Ind,TE,W 22-19,7.4,0,0,0,0,0,0,2,9,0,4,0,0,0,2.9,0,0,Bal,Away,9/26/2023
2236,Mike Gesicki,NE,TE,W 15-10,5.1,0,0,0,0,0,0,1,18,0,1,0,0,0,2.8,0,0,NYJ,Away,9/26/2023
2237,Joshua Kelley,LAC,RB,W 28-24,14.2,0,0,0,11,12,0,1,5,0,1,0,0,0,2.7,0,0,Min,Away,9/26/2023
2238,Pierre Strong Jr.,Cle,RB,W 27-3,3.3,0,0,0,6,27,0,0,0,0,0,0,0,0,2.7,0,0,Ten,Home,9/26/2023
2239,Brenton Strange,Jax,TE,L 17-37,0.3,0,0,0,0,0,0,2,7,0,2,0,0,0,2.7,0,0,Hou,Home,9/26/2023
2240,Zach Ertz,Ari,TE,W 28-16,9.2,0,0,0,0,0,0,2,6,0,2,0,0,0,2.6,0,0,Dal,Home,9/26/2023
2241,Cade Otton,TB,TE,L 11-25,7.6,0,0,0,0,0,0,1,16,0,2,0,0,0,2.6,0,0,Phi,Home,9/26/2023
2242,Deven Thompkins,TB,WR,L 11-25,3.3,0,0,0,0,0,0,2,6,0,4,0,0,0,2.6,0,0,Phi,Home,9/26/2023
2243,DeAndre Carter,LV,WR,L 18-23,1.3,0,0,0,0,0,0,1,16,0,1,0,0,0,2.6,0,0,Pit,Home,9/26/2023
2244,Chase Claypool,Chi,WR,L 10-41,5.7,0,0,0,0,0,0,1,15,0,4,0,0,0,2.5,0,0,KC,Away,9/26/2023
2245,Durham Smythe,Mia,TE,W 70-20,7.1,0,0,0,0,0,0,1,15,0,1,0,0,0,2.5,0,0,Den,Home,9/26/2023
2246,Tommy Tremble,Car,TE,L 27-37,0.4,0,0,0,0,0,0,1,15,0,1,0,0,0,2.5,0,0,Sea,Away,9/26/2023
2247,KhaDarel Hodge,Atl,WR,L 6-20,0.4,0,0,0,0,0,0,1,15,0,1,0,0,0,2.5,0,0,Det,Away,9/26/2023
2248,Chuba Hubbard,Car,RB,L 27-37,8.7,0,0,0,1,2,0,2,2,0,3,0,0,0,2.4,0,0,Sea,Away,9/26/2023
2249,Dalton Kincaid,Buf,TE,W 37-3,7.8,0,0,0,0,0,0,2,3,0,2,0,0,0,2.3,0,0,Wsh,Away,9/26/2023
2250,River Cracraft,Mia,WR,W 70-20,7.2,0,0,0,0,0,0,1,13,0,1,0,0,0,2.3,0,0,Den,Home,9/26/2023
2251,Randall Cobb,NYJ,WR,L 10-15,3.7,0,0,0,0,0,0,1,12,0,2,0,0,0,2.2,0,0,NE,Home,9/26/2023
2252,Emanuel Wilson,GB,RB,W 18-17,3.6,0,0,0,2,6,0,1,6,0,1,0,0,0,2.2,0,0,NO,Home,9/26/2023
2253,Hayden Hurst,Car,TE,L 27-37,7.8,0,0,0,0,0,0,1,11,0,3,0,0,0,2.1,0,0,Sea,Away,9/26/2023
2254,Dawson Knox,Buf,TE,W 37-3,7.5,0,0,0,0,0,0,1,11,0,3,0,0,0,2.1,0,0,Wsh,Away,9/26/2023
2255,Drew Ogletree,Ind,TE,W 22-19,3.5,0,0,0,0,0,0,1,11,0,2,0,0,0,2.1,0,0,Bal,Away,9/26/2023
2256,Nate Adkins,Den,TE,L 20-70,0,0,0,0,0,0,0,1,11,0,1,0,0,0,2.1,0,0,Mia,Away,9/26/2023
2257,Derrick Henry,Ten,RB,L 3-27,16.8,0,0,0,11,20,0,0,0,0,0,0,0,0,2,0,0,Cle,Away,9/26/2023
2258,Jaxon Smith-Njigba,Sea,WR,W 37-27,8.8,0,0,0,0,0,0,1,10,0,3,0,0,0,2,0,0,Car,Home,9/26/2023
